Task,who id,what id,Related association,Due date,Task sub type,description,Status,Priority
task 1562,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1563,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1564,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1565,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1566,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1567,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1568,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1569,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1570,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1571,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1572,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1573,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1574,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1575,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1576,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1577,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1578,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1579,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1580,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1581,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1582,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1583,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1584,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1585,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1586,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1587,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1588,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1589,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1590,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1591,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1592,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1593,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1594,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1595,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1596,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1597,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1598,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1599,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1600,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1601,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1602,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1603,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1604,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1605,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1606,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1607,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1608,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1609,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1610,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1611,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1612,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1613,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1614,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1615,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1616,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1617,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1618,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1619,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1620,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1621,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1622,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1623,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1624,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1625,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1626,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1627,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1628,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1629,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1630,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1631,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1632,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1633,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1634,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1635,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1636,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1637,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1638,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1639,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1640,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1641,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1642,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1643,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1644,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1645,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1646,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1647,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1648,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1649,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1650,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1651,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1652,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1653,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1654,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1655,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1656,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1657,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1658,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1659,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1660,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1661,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1662,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1663,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1664,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1665,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1666,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1667,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1668,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1669,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1670,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1671,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1672,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1673,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1674,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1675,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1676,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1677,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1678,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1679,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1680,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1681,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1682,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1683,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1684,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1685,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1686,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1687,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1688,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1689,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1690,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1691,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1692,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1693,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1694,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1695,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1696,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1697,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1698,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1699,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1700,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1701,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1702,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1703,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1704,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1705,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1706,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1707,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1708,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1709,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1710,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1711,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1712,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1713,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1714,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1715,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1716,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1717,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1718,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1719,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1720,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1721,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1722,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1723,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1724,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1725,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1726,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1727,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1728,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1729,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1730,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1731,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1732,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1733,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1734,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1735,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1736,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1737,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1738,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1739,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1740,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1741,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1742,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1743,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1744,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1745,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1746,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1747,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1748,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1749,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1750,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1751,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1752,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1753,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1754,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1755,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1756,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1757,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1758,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1759,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1760,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1761,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1762,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1763,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1764,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1765,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1766,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1767,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1768,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1769,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1770,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1771,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1772,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1773,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1774,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1775,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1776,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1777,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1778,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1779,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1780,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1781,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1782,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1783,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1784,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1785,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1786,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1787,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1788,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1789,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1790,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1791,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1792,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1793,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1794,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1795,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1796,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1797,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1798,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1799,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1800,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1801,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
